$adultiptv,#genre#
Anal,http://live.adultiptv.net/anal.m3u8
Asian,http://live.adultiptv.net/asian.m3u8
Big Ass,http://live.adultiptv.net/bigass.m3u8
Big Dick,http://live.adultiptv.net/bigdick.m3u8
Big Tits,http://live.adultiptv.net/bigtits.m3u8
Blonde,http://live.adultiptv.net/blonde.m3u8
Blowjob,http://live.adultiptv.net/blowjob.m3u8
Brunette,http://live.adultiptv.net/brunette.m3u8
Compilation,http://live.adultiptv.net/compilation.m3u8
Cuckold,http://live.adultiptv.net/cuckold.m3u8
Fetish,http://live.adultiptv.net/fetish.m3u8
Gangbang,http://live.adultiptv.net/gangbang.m3u8
Gay,http://live.adultiptv.net/gay.m3u8
Hardcore,http://live.adultiptv.net/hardcore.m3u8
Interracial,http://live.adultiptv.net/interracial.m3u8
Latina,http://live.adultiptv.net/latina.m3u8
Lesbian,http://live.adultiptv.net/lesbian.m3u8
Live Cams,http://live.adultiptv.net/livecams.m3u8
MILF,http://live.adultiptv.net/milf.m3u8
POV,http://live.adultiptv.net/pov.m3u8
Pornstar,http://live.adultiptv.net/pornstar.m3u8
Rough,http://live.adultiptv.net/rough.m3u8
Russian,http://live.adultiptv.net/russian.m3u8
Teen,http://live.adultiptv.net/teen.m3u8

$mycamTV,#genre#
Anal,http://live.mycamtv.com/anal.m3u8
Arab,http://live.mycamtv.com/arab.m3u8
Asian,http://live.mycamtv.com/asian.m3u8
Big Ass,http://live.mycamtv.com/bigass.m3u8
Big Tits,http://live.mycamtv.com/bigtits.m3u8
Blonde,http://live.mycamtv.com/blonde.m3u8
Blowjob,http://live.mycamtv.com/blowjob.m3u8
Brunette,http://live.mycamtv.com/brunette.m3u8
Ebony,http://live.mycamtv.com/ebony.m3u8
Girls Squirt,http://live.mycamtv.com/squirt.m3u8
Latina,http://live.mycamtv.com/latina.m3u8
Medium,http://live.mycamtv.com/medium.m3u8
Milf,http://live.mycamtv.com/milf.m3u8
Skinny,http://live.mycamtv.com/skinny.m3u8
Teen,http://live.mycamtv.com/teen.m3u8
Threesome,http://live.adultiptv.net/threesome.m3u8
White,http://live.mycamtv.com/white.m3u8

$other adult iptv,#genre#
Eroxxx HD,http://rr3.tvdosug.net/~109e1a3c05fcad5b22d13b9453dc0db5122/54982
Penthouse Quickies,http://rr3.tvdosug.net/~109e1a3c05fcad5b22d13b9453dc0db5122/47354
XXL,http://rr3.tvdosug.net/~109e1a3c05fcad5b22d13b9453dc0db5122/26472
playboy HD,http://190.11.225.124:5000/live/playboy_hd/playlist.m3u8

$redtraffic adult iptv,#genre#
Anal,http://live.redtraffic.xyz/anal.m3u8
